,DNN,HGEN,ICLN,OCGN,VGT,VUZI,XLV,^NBI,price%_DNN,price%_HGEN,price%_ICLN,price%_OCGN,price%_VGT,price%_VUZI,price%_XLV,price%_^NBI,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI,sma_DNN,sma_HGEN,sma_ICLN,sma_OCGN,sma_VGT,sma_VUZI,sma_XLV,sma_^NBI,profit_DNN,profit_HGEN,profit_ICLN,profit_OCGN,profit_VGT,profit_VUZI,profit_XLV,profit_^NBI
2015-09-18,0.4399999976158142,15.600000381469728,9.390000343322754,357.0,102.79000091552734,5.150000095367432,70.91000366210938,3732.669921875,0.0,-0.031055899885286495,-0.025933609034896464,-0.0016778693883521337,-0.012489148507060323,0.04887988908631394,-0.018818223939789117,-0.01618578284735317,40.72038744610519,54.253923203536914,43.10498953007114,47.69748716756268,47.78140033289369,60.61070107749838,46.52180149202164,51.28790465164547,0.6431372522812664,0.5229554056899478,0.9221424304919831,0.7465586640112835,0.9901726223144633,0.8848135485611135,1.014546093115349,1.0536070074909545,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
2015-09-21,0.4199999868869781,14.300000190734863,9.40999984741211,342.6000061035156,103.63999938964844,4.880000114440918,69.97000122070312,3568.25,-0.045454570084564216,-0.08333334352216136,0.0021298725621002935,-0.04033611735709909,0.008269271977335822,-0.05242717979158606,-0.013256274049644965,-0.04404887796572389,36.98309682691546,49.004911623213246,43.69680503202713,42.13209226722815,50.331530215530464,53.47541540285399,43.12480302682481,42.85893876541107,0.6398657779245269,0.5259103504037251,0.9196531903054249,0.7480285186163438,0.9898729534943305,0.8786303266705384,1.013110292267878,1.0512901508207804,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-22,0.4199999868869781,13.199999809265137,9.199999809265137,315.0,102.0199966430664,4.78000020980835,69.54000091552734,3508.300048828125,0.0,-0.07692310257327337,-0.022316688794073232,-0.08056043669531156,-0.01563105708338934,-0.020491783255629073,-0.0061454951789903685,-0.016800939163980944,36.98309682691545,45.03458151524868,39.09793813389994,33.95444042286497,45.7461637791525,51.07708666261627,41.627387113390576,40.260808560714906,0.636746322074467,0.5307181278822015,0.9166197490848609,0.7483737149052819,0.9890545130646082,0.8721147276266196,1.0114038145339328,1.04831924194205,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2015-09-23,0.4099999964237213,13.699999809265137,9.0600004196167,298.20001220703125,101.18000030517578,4.78000020980835,69.47000122070312,3488.52001953125,-0.02380950184636024,0.037878788426121635,-0.015217325277273038,-0.053333294580853174,-0.008233644045583428,0.0,-0.0010066104961552965,-0.005638066591106456,35.11427703734992,47.13133420745349,36.35123467330858,30.121933819752044,43.53161612881638,51.07708666261628,41.37552035388613,39.411883280364506,0.6337277308527222,0.5363799600269482,0.9133620277623012,0.7476379211541176,0.9880212694522842,0.8656616159112329,1.009512635835967,1.044805601476662,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2015-09-24,0.4099999964237213,12.149999618530272,9.020000457763672,282.0,101.08000183105467,5.230000019073486,68.76000213623047,3418.72998046875,0.0,-0.11313870162878539,-0.004415006622562565,-0.0543259944462513,-0.0009883225323136574,0.09414221537935437,-0.010220225593735352,-0.020005629513881257,35.11427703734992,41.807132700284086,35.58209094484221,26.961664510327825,43.2631133515487,60.35629440558636,38.810519664395606,36.488447525787215,0.6314278234021694,0.5412843048725948,0.9105418413747837,0.7458454195551333,0.9869019388215456,0.8598932357966277,1.0074648252517817,1.0409328592431841,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2015-09-25,0.3899999856948852,10.75,9.029999732971191,284.3999938964844,100.83999633789062,5.159999847412109,66.87999725341797,3246.110107421875,-0.04878051439826544,-0.11522630966959842,0.0011085670399177175,0.008510616654199912,-0.0023744112466993618,-0.01338435399734047,-0.02734154776621077,-0.05049239747890434,31.430332108154985,37.6680960824686,35.94694720135605,28.16410128996345,42.58421442281449,58.49759957653987,32.98030486761559,30.468421646947014,0.6281446511919039,0.546570191804973,0.9072994557288702,0.7437996740630345,0.985543137571868,0.8541978662840742,1.0049093130020395,1.0360802985666413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-09-28,0.3700000047683716,9.649999618530272,8.800000190734863,270.6000061035156,98.45999908447266,4.940000057220459,64.29000091552734,3050.830078125,-0.051282004256688656,-0.10232561688090497,-0.02547060343717752,-0.048523164870360916,-0.02360171895924281,-0.042635619514986366,-0.03872602338897765,-0.060158165568810686,28.23972124289095,34.75647898385663,31.524108322304283,25.55854336938026,36.47214091727186,52.975912238305234,26.969497520154857,25.369223688758257,0.6250164384620627,0.5507184900270515,0.9039889938200526,0.7409060846591443,0.9834831219429514,0.8486288164228444,1.0017898029744747,1.0302139657576137,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2015-09-29,0.3700000047683716,10.350000381469728,8.859999656677246,237.6000061035156,97.9499969482422,4.440000057220459,64.87999725341797,3033.3701171875,0.0,0.07253894203221421,0.006818120982037436,-0.12195121676152576,-0.005179790178475463,-0.10121457372640802,0.00917710887367757,-0.005723019798018598,28.23972124289095,38.03872620944354,33.81193890112716,20.640933333488316,35.30283086474025,43.03385165001522,30.09500953584528,24.96688992387633,0.6232668676911564,0.5558300299993066,0.9007238575653044,0.7376631366906462,0.9812811331854651,0.841853596504701,0.9987347963864426,1.0242800720362915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,0.3799999952316284,9.550000190734863,9.0600004196167,239.0399932861328,100.0,4.679999828338623,66.2300033569336,3169.1298828125,0.027027000903735277,-0.07729470156997838,0.022573450416414478,0.006060551959707671,0.020929077239696506,0.05405400180747055,0.02080773983763547,0.04475542396088303,32.22911928689706,35.82080794671618,40.90022069104639,21.352040112873883,43.1874370064712,48.07151477523742,36.76389273199842,33.76303213349781,0.6216861072712331,0.5608671183021477,0.8976194400446977,0.7344478904153428,0.9793955742145958,0.8356379652168103,0.9959772207872369,1.0189869986549906,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-10-01,0.3799999952316284,9.550000190734863,9.170000076293944,239.3999938964844,100.0500030517578,4.559999942779541,66.9000015258789,3198.14990234375,0.0,0.0,0.012141241896531619,0.0015060266920300122,0.0005000305175779829,-0.025641002128344394,0.010116233353250625,0.009157093777897066,32.22911928689706,35.82080794671618,44.42540617521256,21.541321778485997,43.36872862403357,45.88651196517079,39.831748166956864,35.50358092081201,0.6204005585381568,0.5653430297902534,0.8949450631271462,0.731666568134201,0.9777780283324494,0.8291925721676555,0.9932674795921099,1.0137470326564595,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
