Date,sentiment,polarity_norm
8/21/2018,neutral,0.666666667
8/21/2018,positive,0.333333333
9/6/2018,neutral,1
9/11/2018,positive,1
9/14/2018,neutral,1
9/26/2018,positive,1
10/5/2018,neutral,1
10/6/2018,positive,1
10/8/2018,neutral,1
10/15/2018,negative,0.25
10/15/2018,neutral,0.75
10/19/2018,positive,1
10/22/2018,neutral,1
10/29/2018,neutral,1
11/2/2018,neutral,1
11/3/2018,neutral,1
11/5/2018,positive,1
11/13/2018,neutral,0.5
11/13/2018,positive,0.5
11/15/2018,positive,1
11/16/2018,positive,1
11/18/2018,positive,1
11/20/2018,positive,1
11/21/2018,neutral,1
11/22/2018,positive,1
11/23/2018,positive,1
11/27/2018,neutral,0.5
11/27/2018,positive,0.5
11/30/2018,neutral,0.333333333
11/30/2018,positive,0.666666667
12/2/2018,neutral,1
12/3/2018,neutral,0.5
12/3/2018,positive,0.5
12/4/2018,neutral,1
12/5/2018,positive,1
12/7/2018,positive,1
12/8/2018,positive,1
12/9/2018,neutral,0.666666667
12/9/2018,positive,0.333333333
12/11/2018,neutral,1
12/16/2018,positive,1
12/25/2018,negative,0.5
12/25/2018,neutral,0.5
12/27/2018,positive,1
12/28/2018,positive,1
12/30/2018,neutral,1
12/31/2018,negative,1
1/3/2019,positive,1
1/4/2019,positive,1
1/7/2019,positive,1
1/14/2019,positive,1
1/16/2019,negative,1
1/17/2019,neutral,0.5
1/17/2019,positive,0.5
1/23/2019,neutral,0.25
1/23/2019,positive,0.75
1/24/2019,neutral,1
1/25/2019,positive,1
1/26/2019,neutral,0.666666667
1/26/2019,positive,0.333333333
1/28/2019,neutral,0.2
1/28/2019,positive,0.8
1/30/2019,neutral,0.5
1/30/2019,positive,0.5
2/1/2019,neutral,1
2/6/2019,neutral,1
2/12/2019,positive,1
2/14/2019,neutral,0.5
2/14/2019,positive,0.5
2/15/2019,neutral,0.333333333
2/15/2019,positive,0.666666667
2/16/2019,positive,1
2/19/2019,neutral,1
2/20/2019,positive,1
2/23/2019,neutral,0.5
2/23/2019,positive,0.5
2/24/2019,positive,1
2/25/2019,neutral,0.833333333
2/25/2019,positive,0.166666667
2/26/2019,positive,1
3/4/2019,neutral,0.5
3/4/2019,positive,0.5
3/5/2019,neutral,1
3/7/2019,neutral,1
3/9/2019,positive,1
3/17/2019,positive,1
3/18/2019,positive,1
3/20/2019,neutral,1
3/21/2019,neutral,1
3/22/2019,negative,0.333333333
3/22/2019,neutral,0.666666667
3/23/2019,neutral,1
3/28/2019,neutral,0.5
3/28/2019,positive,0.5
3/30/2019,positive,1
4/1/2019,neutral,0.666666667
4/1/2019,positive,0.333333333
4/2/2019,neutral,0.666666667
4/2/2019,positive,0.333333333
4/15/2019,neutral,0.25
4/15/2019,positive,0.75
4/22/2019,neutral,1
4/24/2019,neutral,1
4/30/2019,neutral,1
5/1/2019,neutral,1
5/2/2019,neutral,1
5/3/2019,neutral,1
5/17/2019,neutral,0.75
5/17/2019,positive,0.25
5/31/2019,negative,0.125
5/31/2019,neutral,0.5625
5/31/2019,positive,0.3125
6/1/2019,neutral,0.4
6/1/2019,positive,0.6
6/3/2019,neutral,1
6/4/2019,negative,1
6/5/2019,neutral,1
6/7/2019,neutral,1
6/9/2019,positive,1
6/10/2019,neutral,1
6/15/2019,neutral,1
6/23/2019,neutral,1
6/24/2019,neutral,1
6/25/2019,neutral,1
7/2/2019,neutral,0.727272727
7/2/2019,positive,0.272727273
7/16/2019,neutral,1
7/22/2019,neutral,0.888888889
7/22/2019,positive,0.111111111
7/23/2019,neutral,1
7/25/2019,neutral,1
7/28/2019,neutral,1
7/30/2019,neutral,1
7/31/2019,negative,0.4
7/31/2019,neutral,0.6
8/1/2019,neutral,1
8/2/2019,neutral,1
8/7/2019,positive,1
8/8/2019,positive,1
8/9/2019,neutral,1
8/13/2019,positive,1
8/21/2019,neutral,0.5
8/21/2019,positive,0.5
8/22/2019,positive,1
8/25/2019,positive,1
8/29/2019,negative,1
9/9/2019,neutral,1
9/13/2019,neutral,1
9/20/2019,neutral,1
9/21/2019,positive,1
9/24/2019,positive,1
9/26/2019,neutral,1
9/28/2019,neutral,1
9/29/2019,neutral,1
10/1/2019,neutral,1
10/4/2019,neutral,1
10/7/2019,neutral,0.25
10/7/2019,positive,0.75
10/8/2019,neutral,0.285714286
10/8/2019,positive,0.714285714
10/9/2019,neutral,1
10/10/2019,neutral,1
10/12/2019,neutral,1
10/15/2019,neutral,1
10/23/2019,neutral,1
10/26/2019,neutral,1
10/28/2019,neutral,0.6
10/28/2019,positive,0.4
10/30/2019,neutral,1
11/6/2019,neutral,0.625
11/6/2019,positive,0.375
11/7/2019,neutral,1
11/8/2019,neutral,1
11/12/2019,neutral,1
11/13/2019,neutral,1
11/15/2019,neutral,1
11/19/2019,neutral,1
11/20/2019,neutral,1
11/28/2019,negative,1
12/2/2019,neutral,1
12/3/2019,neutral,1
12/5/2019,neutral,1
12/7/2019,neutral,1
12/9/2019,positive,1
12/10/2019,neutral,0.5
12/10/2019,positive,0.5
12/11/2019,neutral,0.833333333
12/11/2019,positive,0.166666667
12/12/2019,positive,1
12/13/2019,neutral,1
12/16/2019,negative,0.111111111
12/16/2019,neutral,0.888888889
12/17/2019,neutral,1
12/18/2019,neutral,1
12/19/2019,neutral,1
12/27/2019,neutral,1
1/20/2020,neutral,1
1/21/2020,neutral,1
1/22/2020,neutral,1
1/24/2020,neutral,1
1/26/2020,positive,1
1/27/2020,positive,1
2/9/2020,positive,1
2/10/2020,positive,1
2/16/2020,positive,1
2/23/2020,positive,1
2/24/2020,neutral,0.5
2/24/2020,positive,0.5
3/1/2020,positive,1
3/2/2020,positive,1
3/5/2020,positive,1
3/8/2020,positive,1
3/9/2020,neutral,0.833333333
3/9/2020,positive,0.166666667
3/10/2020,neutral,0.666666667
3/10/2020,positive,0.333333333
3/11/2020,neutral,1
3/12/2020,neutral,1
3/13/2020,positive,1
3/14/2020,neutral,1
3/15/2020,positive,1
3/16/2020,neutral,0.666666667
3/16/2020,positive,0.333333333
3/17/2020,neutral,0.5
3/17/2020,positive,0.5
3/18/2020,neutral,0.5
3/18/2020,positive,0.5
3/19/2020,neutral,0.666666667
3/19/2020,positive,0.333333333
3/20/2020,negative,0.037037037
3/20/2020,neutral,0.740740741
3/20/2020,positive,0.222222222
3/21/2020,neutral,1
3/22/2020,neutral,0.666666667
3/22/2020,positive,0.333333333
3/23/2020,neutral,0.6
3/23/2020,positive,0.4
3/24/2020,neutral,1
3/25/2020,neutral,1
3/26/2020,neutral,1
3/27/2020,neutral,0.777777778
3/27/2020,positive,0.222222222
3/28/2020,neutral,0.888888889
3/28/2020,positive,0.111111111
3/29/2020,neutral,0.666666667
3/29/2020,positive,0.333333333
3/30/2020,negative,0.05
3/30/2020,neutral,0.7
3/30/2020,positive,0.25
3/31/2020,negative,0.090909091
3/31/2020,neutral,0.454545455
3/31/2020,positive,0.454545455
4/1/2020,neutral,0.4
4/1/2020,positive,0.6
4/2/2020,negative,0.071428571
4/2/2020,neutral,0.75
4/2/2020,positive,0.178571429
4/3/2020,neutral,0.857142857
4/3/2020,positive,0.142857143
4/4/2020,neutral,0.666666667
4/4/2020,positive,0.333333333
4/5/2020,neutral,0.5
4/5/2020,positive,0.5
4/6/2020,neutral,0.888888889
4/6/2020,positive,0.111111111
4/7/2020,neutral,0.8
4/7/2020,positive,0.2
4/8/2020,neutral,1
4/9/2020,neutral,1
4/10/2020,positive,1
4/11/2020,neutral,1
4/12/2020,positive,1
4/13/2020,neutral,0.25
4/13/2020,positive,0.75
4/14/2020,neutral,0.75
4/14/2020,positive,0.25
4/15/2020,negative,0.024390244
4/15/2020,neutral,0.585365854
4/15/2020,positive,0.390243902
4/16/2020,neutral,0.4
4/16/2020,positive,0.6
4/17/2020,neutral,0.25
4/17/2020,positive,0.75
4/20/2020,neutral,0.666666667
4/20/2020,positive,0.333333333
4/21/2020,negative,0.333333333
4/21/2020,neutral,0.333333333
4/21/2020,positive,0.333333333
4/22/2020,neutral,1
4/23/2020,neutral,1
4/24/2020,neutral,1
4/25/2020,negative,1
4/26/2020,negative,1
4/27/2020,neutral,0.5
4/27/2020,positive,0.5
4/28/2020,neutral,1
4/29/2020,neutral,0.666666667
4/29/2020,positive,0.333333333
4/30/2020,neutral,0.333333333
4/30/2020,positive,0.666666667
5/1/2020,neutral,0.5
5/1/2020,positive,0.5
5/4/2020,neutral,1
5/5/2020,neutral,0.5
5/5/2020,positive,0.5
5/6/2020,negative,0.058823529
5/6/2020,neutral,0.411764706
5/6/2020,positive,0.529411765
5/7/2020,neutral,0.6
5/7/2020,positive,0.4
5/8/2020,neutral,0.333333333
5/8/2020,positive,0.666666667
5/9/2020,positive,1
5/11/2020,neutral,0.5
5/11/2020,positive,0.5
5/12/2020,neutral,0.4
5/12/2020,positive,0.6
5/13/2020,neutral,0.5
5/13/2020,positive,0.5
5/14/2020,negative,0.25
5/14/2020,neutral,0.5
5/14/2020,positive,0.25
5/15/2020,neutral,0.714285714
5/15/2020,positive,0.285714286
5/16/2020,neutral,0.333333333
5/16/2020,positive,0.666666667
5/19/2020,positive,1
5/20/2020,negative,0.5
5/20/2020,neutral,0.5
5/21/2020,neutral,0.5
5/21/2020,positive,0.5
5/22/2020,neutral,0.428571429
5/22/2020,positive,0.571428571
5/23/2020,neutral,0.666666667
5/23/2020,positive,0.333333333
5/24/2020,positive,1
5/25/2020,neutral,0.5
5/25/2020,positive,0.5
5/26/2020,neutral,1
5/27/2020,neutral,0.842105263
5/27/2020,positive,0.157894737
5/28/2020,neutral,0.9
5/28/2020,positive,0.1
5/29/2020,negative,0.045454545
5/29/2020,neutral,0.545454545
5/29/2020,positive,0.409090909
5/30/2020,neutral,0.333333333
5/30/2020,positive,0.666666667
5/31/2020,neutral,0.5
5/31/2020,positive,0.5
6/1/2020,neutral,0.764705882
6/1/2020,positive,0.235294118
6/2/2020,negative,0.044444444
6/2/2020,neutral,0.7
6/2/2020,positive,0.255555556
6/3/2020,negative,0.043478261
6/3/2020,neutral,0.52173913
6/3/2020,positive,0.434782609
6/4/2020,negative,0.090909091
6/4/2020,neutral,0.5
6/4/2020,positive,0.409090909
6/5/2020,negative,0.078947368
6/5/2020,neutral,0.684210526
