Date,dnn,negative,neutral,positive,signal
2010-11-12,2.6600000858306885,0.0,1.0,0.0,0.0
2010-11-15,2.569999933242798,,,,
2010-11-16,2.390000104904175,,,,
2010-11-17,2.4800000190734863,0.0,1.0,0.0,0.0
2010-11-18,2.5299999713897705,0.0,1.0,0.0,0.0
2010-11-19,2.569999933242798,0.0,1.0,0.0,0.0
2010-11-22,2.5299999713897705,,,,
2010-11-23,2.509999990463257,,,,
2010-11-24,2.940000057220459,0.0,1.0,0.0,0.0
2010-11-26,3.1700000762939453,0.3,0.5,0.2,-0.09999999999999998
2010-11-29,3.180000066757202,0.0,0.428571429,0.571428571,0.571428571
2010-11-30,3.0999999046325684,0.0,0.75,0.25,0.25
2010-12-01,3.390000104904175,0.0,0.0,1.0,1.0
2010-12-02,3.359999895095825,0.0,0.0,1.0,1.0
2010-12-03,3.3299999237060547,0.0,1.0,0.0,0.0
2010-12-06,3.450000047683716,,,,
2010-12-07,3.559999942779541,,,,
2010-12-08,3.2699999809265137,0.0,1.0,0.0,0.0
2010-12-09,3.3499999046325684,0.0,1.0,0.0,0.0
2010-12-10,3.3399999141693115,,,,
2010-12-13,3.509999990463257,,,,
2010-12-14,3.359999895095825,,,,
2010-12-15,3.2300000190734863,0.0,0.0,1.0,1.0
2010-12-16,3.1600000858306885,0.0,1.0,0.0,0.0
2010-12-17,3.299999952316284,,,,
2010-12-20,3.299999952316284,0.0,1.0,0.0,0.0
2010-12-21,3.3299999237060547,0.166666667,0.833333333,0.0,-0.166666667
2010-12-22,3.2899999618530273,0.0,1.0,0.0,0.0
2010-12-23,3.2200000286102295,,,,
2010-12-27,3.180000066757202,,,,
2010-12-28,3.299999952316284,,,,
2010-12-29,3.4100000858306885,,,,
2010-12-30,3.440000057220459,0.0,1.0,0.0,0.0
2010-12-31,3.4200000762939453,0.0,1.0,0.0,0.0
2011-01-03,3.450000047683716,,,,
2011-01-04,3.2200000286102295,,,,
2011-01-05,3.2100000381469727,0.0,0.5,0.5,0.5
2011-01-06,3.059999942779541,0.0,1.0,0.0,0.0
2011-01-07,2.9800000190734863,0.0,1.0,0.0,0.0
2011-01-10,3.059999942779541,0.0,1.0,0.0,0.0
