Date,ocgn,negative,neutral,positive,signal
2015-06-16,419.3999938964844,0.0,1.0,0.0,0.0
2015-06-17,384.6000061035156,,,,
2015-06-18,398.3999938964844,,,,
2015-06-19,374.3999938964844,,,,
2015-06-22,399.0,,,,
2015-06-23,414.0,,,,
2015-06-24,411.6000061035156,,,,
2015-06-25,397.79998779296875,,,,
2015-06-26,417.0,,,,
2015-06-29,376.20001220703125,,,,
2015-06-30,387.6000061035156,,,,
2015-07-01,384.6000061035156,,,,
2015-07-02,382.20001220703125,,,,
2015-07-06,383.3999938964844,,,,
2015-07-07,379.79998779296875,,,,
2015-07-08,363.6000061035156,,,,
2015-07-09,379.79998779296875,,,,
2015-07-10,373.79998779296875,,,,
2015-07-13,372.0,,,,
2015-07-14,384.0,,,,
2015-07-15,396.6000061035156,,,,
2015-07-16,404.3999938964844,,,,
2015-07-17,413.3999938964844,,,,
2015-07-20,396.6000061035156,,,,
2015-07-21,394.20001220703125,,,,
2015-07-22,383.3999938964844,,,,
2015-07-23,378.0,,,,
2015-07-24,366.0,,,,
2015-07-27,366.0,,,,
2015-07-28,375.6000061035156,,,,
2015-07-29,366.6000061035156,,,,
2015-07-30,361.79998779296875,,,,
2015-07-31,382.5,,,,
2015-08-03,374.3999938964844,,,,
2015-08-04,378.0,,,,
2015-08-05,384.0,,,,
2015-08-06,369.6000061035156,,,,
2015-08-07,371.3999938964844,,,,
2015-08-10,382.20001220703125,,,,
2015-08-11,382.20001220703125,,,,
2015-08-12,367.79998779296875,,,,
2015-08-13,393.6000061035156,,,,
2015-08-14,398.3999938964844,,,,
2015-08-17,406.79998779296875,,,,
2015-08-18,400.20001220703125,,,,
2015-08-19,376.20001220703125,,,,
2015-08-20,371.3999938964844,,,,
2015-08-21,351.0,,,,
2015-08-24,330.6000061035156,,,,
2015-08-25,342.0,,,,
2015-08-26,346.79998779296875,,,,
2015-08-27,365.3999938964844,,,,
2015-08-28,370.20001220703125,,,,
2015-08-31,371.3999938964844,,,,
2015-09-01,362.3999938964844,,,,
2015-09-02,360.0,,,,
2015-09-03,360.0,,,,
2015-09-04,355.79998779296875,,,,
2015-09-08,370.20001220703125,,,,
2015-09-09,371.3999938964844,,,,
2015-09-10,364.79998779296875,,,,
2015-09-11,334.79998779296875,,,,
2015-09-14,336.0,,,,
2015-09-15,338.3999938964844,,,,
2015-09-16,358.20001220703125,,,,
2015-09-17,357.6000061035156,,,,
2015-09-18,357.0,,,,
2015-09-21,342.6000061035156,,,,
2015-09-22,315.0,,,,
2015-09-23,298.20001220703125,,,,
2015-09-24,282.0,,,,
2015-09-25,284.3999938964844,,,,
2015-09-28,270.6000061035156,,,,
2015-09-29,237.60000610351562,,,,
2015-09-30,239.0399932861328,,,,
2015-10-01,239.39999389648438,,,,
2015-10-02,238.67999267578125,,,,
2015-10-05,264.0,,,,
2015-10-06,262.20001220703125,,,,
2015-10-07,264.0,,,,
2015-10-08,282.6000061035156,,,,
2015-10-09,264.0,,,,
2015-10-12,265.20001220703125,,,,
2015-10-13,264.6000061035156,,,,
2015-10-14,258.0,,,,
2015-10-15,276.0,,,,
2015-10-16,264.0,,,,
2015-10-19,268.79998779296875,,,,
2015-10-20,268.79998779296875,,,,
2015-10-21,268.79998779296875,,,,
2015-10-22,269.3999938964844,,,,
2015-10-23,269.3999938964844,,,,
2015-10-26,231.0,,,,
2015-10-27,242.39999389648438,,,,
2015-10-28,254.39999389648438,,,,
2015-10-29,259.79998779296875,,,,
2015-10-30,246.60000610351562,,,,
2015-11-02,256.20001220703125,,,,
2015-11-03,263.3999938964844,,,,
2015-11-04,255.0,,,,
2015-11-05,249.0,,,,
2015-11-06,261.0,,,,
