Date,vuzi,negative,neutral,positive,signal
2020-03-26,1.149999976158142,0.0,0.5,0.5,0.5
2020-03-27,1.1299999952316284,0.0,0.25,0.75,0.75
2020-03-30,1.090000033378601,0.0625,0.5625,0.375,0.3125
2020-03-31,1.2300000190734863,0.12962963,0.537037037,0.333333333,0.203703703
2020-04-01,1.2300000190734863,0.0,0.5,0.5,0.5
2020-04-02,1.2899999618530273,0.0,0.375,0.625,0.625
2020-04-03,1.3300000429153442,0.033333333,0.366666667,0.6,0.566666667
2020-04-06,1.4199999570846558,0.090909091,0.363636364,0.545454545,0.454545454
2020-04-07,1.5399999618530273,0.052631579,0.526315789,0.421052632,0.368421053
2020-04-08,1.5499999523162842,0.096774194,0.225806452,0.677419355,0.580645161
2020-04-09,1.5700000524520874,0.033333333,0.4,0.566666667,0.533333334
2020-04-13,1.649999976158142,0.0,0.65,0.35,0.35
2020-04-14,1.600000023841858,0.0,0.652173913,0.347826087,0.347826087
2020-04-15,1.590000033378601,0.105263158,0.421052632,0.473684211,0.36842105300000005
2020-04-16,1.5,0.166666667,0.833333333,0.0,-0.166666667
2020-04-17,1.5700000524520874,0.076923077,0.615384615,0.307692308,0.23076923100000002
2020-04-20,1.590000033378601,0.0,0.882352941,0.117647059,0.117647059
2020-04-21,1.5299999713897705,0.047619048,0.619047619,0.333333333,0.285714285
2020-04-22,1.559999942779541,0.0,0.454545455,0.545454545,0.545454545
2020-04-23,1.5299999713897705,0.0,0.9,0.1,0.1
2020-04-24,1.4900000095367432,0.0,0.363636364,0.636363636,0.636363636
2020-04-27,1.5499999523162842,0.0,0.3,0.7,0.7
2020-04-28,1.5499999523162842,0.0,0.333333333,0.666666667,0.666666667
2020-04-29,1.5499999523162842,0.047619048,0.523809524,0.428571429,0.380952381
2020-04-30,1.5499999523162842,0.066666667,0.6,0.333333333,0.266666666
2020-05-01,1.5299999713897705,0.214285714,0.428571429,0.357142857,0.142857143
2020-05-04,1.5199999809265137,0.0,0.714285714,0.285714286,0.285714286
2020-05-05,1.7000000476837158,0.076923077,0.192307692,0.730769231,0.653846154
2020-05-06,1.75,0.060606061,0.454545455,0.484848485,0.424242424
2020-05-07,2.2100000381469727,0.042328042,0.497354497,0.46031746,0.417989418
2020-05-08,2.740000009536743,0.057471264,0.513409962,0.429118774,0.37164750999999996
2020-05-11,2.7200000286102295,0.070512821,0.602564103,0.326923077,0.256410256
2020-05-12,2.4200000762939453,0.01754386,0.49122807,0.49122807,0.47368421
2020-05-13,2.190000057220459,0.026315789,0.631578947,0.342105263,0.315789474
2020-05-14,2.5199999809265137,0.115384615,0.576923077,0.307692308,0.19230769300000003
2020-05-15,2.4000000953674316,0.2,0.3,0.5,0.3
2020-05-18,2.299999952316284,0.0,0.625,0.375,0.375
2020-05-19,2.25,0.034482759,0.724137931,0.24137931,0.206896551
2020-05-20,2.4100000858306885,0.06122449,0.489795918,0.448979592,0.38775510199999996
2020-05-21,2.490000009536743,0.04,0.56,0.4,0.36000000000000004
2020-05-22,2.859999895095825,0.058823529,0.462184874,0.478991597,0.420168068
2020-05-26,2.7300000190734863,0.043478261,0.52173913,0.434782609,0.39130434799999997
2020-05-27,2.450000047683716,0.0,0.458333333,0.541666667,0.541666667
2020-05-28,2.440000057220459,0.022222222,0.777777778,0.2,0.177777778
2020-05-29,2.490000009536743,0.130434783,0.391304348,0.47826087,0.347826087
2020-06-01,2.380000114440918,0.0,0.923076923,0.076923077,0.076923077
2020-06-02,2.5,0.0,0.692307692,0.307692308,0.307692308
2020-06-03,2.490000009536743,0.0,0.636363636,0.363636364,0.363636364
2020-06-04,2.5,0.0,0.642857143,0.357142857,0.357142857
2020-06-05,2.430000066757202,0.0,0.3,0.7,0.7
2020-06-08,2.440000057220459,0.045454545,0.590909091,0.363636364,0.318181819
2020-06-09,2.3299999237060547,0.285714286,0.428571429,0.285714286,0.0
2020-06-10,2.309999942779541,0.0,0.7,0.3,0.3
2020-06-11,2.140000104904175,0.0,0.333333333,0.666666667,0.666666667
2020-06-12,2.2100000381469727,0.058823529,0.411764706,0.529411765,0.470588236
2020-06-15,2.380000114440918,0.041666667,0.708333333,0.25,0.208333333
2020-06-16,2.3299999237060547,0.038461538,0.692307692,0.269230769,0.23076923099999996
2020-06-17,2.380000114440918,0.0,0.818181818,0.181818182,0.181818182
2020-06-18,2.309999942779541,0.0,0.4,0.6,0.6
2020-06-19,2.5199999809265137,0.034482759,0.689655172,0.275862069,0.24137930999999999
2020-06-22,2.450000047683716,0.0625,0.6875,0.25,0.1875
2020-06-23,2.4700000286102295,0.071428571,0.714285714,0.214285714,0.142857143
2020-06-24,2.5,0.086956522,0.565217391,0.347826087,0.260869565
2020-06-25,2.380000114440918,0.0,0.555555556,0.444444444,0.444444444
2020-06-26,2.319999933242798,0.0,0.428571429,0.571428571,0.571428571
2020-06-29,2.3299999237060547,0.0625,0.4375,0.5,0.4375
2020-06-30,2.390000104904175,0.018181818,0.472727273,0.509090909,0.49090909099999996
2020-07-01,2.440000057220459,0.0,0.25,0.75,0.75
2020-07-02,2.8499999046325684,0.034883721,0.430232558,0.534883721,0.5
2020-07-06,2.6600000858306885,0.0625,0.5625,0.375,0.3125
2020-07-07,2.9000000953674316,0.039473684,0.605263158,0.355263158,0.315789474
2020-07-08,3.380000114440918,0.036144578,0.602409639,0.361445783,0.32530120500000004
2020-07-09,3.3399999141693115,0.047619048,0.481481481,0.470899471,0.423280423
2020-07-10,3.549999952316284,0.047297297,0.567567568,0.385135135,0.337837838
2020-07-13,3.609999895095825,0.064,0.568,0.368,0.304
2020-07-14,3.7100000381469727,0.065789474,0.421052632,0.513157895,0.44736842099999996
2020-07-15,3.990000009536743,0.023255814,0.558139535,0.418604651,0.395348837
2020-07-16,4.190000057220459,0.08,0.64,0.28,0.2
2020-07-17,4.110000133514404,0.060606061,0.484848485,0.454545455,0.393939394
2020-07-20,4.679999828338623,0.040650407,0.593495935,0.365853659,0.325203252
