Date,hgen,negative,neutral,positive,signal
2017-08-28,7.099999904632568,0.0,1.0,0.0,0.0
2017-08-29,7.0,0.0,0.5,0.5,0.5
2017-08-30,1.899999976158142,0.105263158,0.263157895,0.631578947,0.526315789
2017-08-31,2.299999952316284,0.0,1.0,0.0,0.0
2017-09-01,1.75,0.5,0.25,0.25,-0.25
2017-09-05,1.649999976158142,0.0,0.0,1.0,1.0
2017-09-06,1.149999976158142,0.142857143,0.857142857,0.0,-0.142857143
2017-09-07,1.5,0.0,1.0,0.0,0.0
2017-09-08,1.399999976158142,0.0,0.5,0.5,0.5
2017-09-11,1.4500000476837158,0.0,1.0,0.0,0.0
2017-09-12,1.350000023841858,0.0,1.0,0.0,0.0
2017-09-13,1.399999976158142,,,,
2017-09-14,1.25,,,,
2017-09-15,1.5,0.166666667,0.833333333,0.0,-0.166666667
2017-09-18,2.0,,,,
2017-09-19,1.899999976158142,0.0,1.0,0.0,0.0
2017-09-20,1.899999976158142,,,,
2017-09-21,1.899999976158142,0.0,1.0,0.0,0.0
2017-09-22,1.899999976158142,,,,
2017-09-25,1.9500000476837158,0.0,1.0,0.0,0.0
2017-09-26,1.899999976158142,0.0,1.0,0.0,0.0
2017-09-27,1.7000000476837158,,,,
2017-09-28,1.75,,,,
2017-09-29,1.75,,,,
2017-10-02,1.5499999523162842,,,,
2017-10-03,1.899999976158142,0.0,1.0,0.0,0.0
2017-10-04,2.0999999046325684,,,,
2017-10-05,2.4000000953674316,,,,
2017-10-06,2.4000000953674316,0.0,1.0,0.0,0.0
2017-10-09,2.4000000953674316,0.0,0.0,1.0,1.0
2017-10-10,2.450000047683716,,,,
2017-10-11,2.450000047683716,,,,
2017-10-12,2.450000047683716,,,,
2017-10-13,2.450000047683716,,,,
2017-10-16,1.75,,,,
2017-10-17,2.049999952316284,,,,
2017-10-18,2.0999999046325684,,,,
2017-10-19,2.0999999046325684,,,,
2017-10-20,2.0999999046325684,,,,
2017-10-23,2.1500000953674316,,,,
2017-10-24,2.799999952316284,0.090909091,0.818181818,0.090909091,0.0
2017-10-25,3.75,0.0,0.8,0.2,0.2
2017-10-26,3.700000047683716,,,,
2017-10-27,3.3499999046325684,0.0,1.0,0.0,0.0
2017-10-30,4.150000095367432,0.0,1.0,0.0,0.0
2017-10-31,4.699999809265137,0.0,1.0,0.0,0.0
2017-11-01,3.25,1.0,0.0,0.0,-1.0
2017-11-02,3.25,1.0,0.0,0.0,-1.0
2017-11-03,3.0,0.0,1.0,0.0,0.0
2017-11-06,2.450000047683716,,,,
2017-11-07,2.3499999046325684,,,,
2017-11-08,2.200000047683716,,,,
2017-11-09,2.200000047683716,,,,
2017-11-10,2.049999952316284,0.0,1.0,0.0,0.0
2017-11-13,2.200000047683716,0.0,1.0,0.0,0.0
2017-11-14,2.1500000953674316,,,,
2017-11-15,2.5,,,,
2017-11-16,2.5,0.0,1.0,0.0,0.0
2017-11-17,2.5,0.0,1.0,0.0,0.0
2017-11-20,2.549999952316284,,,,
2017-11-21,2.25,,,,
2017-11-22,2.549999952316284,,,,
2017-11-24,2.549999952316284,,,,
2017-11-27,2.6500000953674316,,,,
2017-11-28,2.6500000953674316,,,,
2017-11-29,2.4000000953674316,,,,
2017-11-30,2.549999952316284,0.0,0.0,1.0,1.0
2017-12-01,2.200000047683716,,,,
2017-12-04,2.5,,,,
2017-12-05,2.25,,,,
2017-12-06,2.25,,,,
2017-12-07,2.200000047683716,,,,
2017-12-08,1.2999999523162842,0.0,1.0,0.0,0.0
2017-12-11,1.399999976158142,,,,
2017-12-12,1.600000023841858,,,,
2017-12-13,1.4500000476837158,,,,
2017-12-14,1.149999976158142,,,,
2017-12-15,1.2999999523162842,,,,
2017-12-18,1.0,0.0,1.0,0.0,0.0
2017-12-19,0.8500000238418579,,,,
2017-12-20,0.949999988079071,0.0,1.0,0.0,0.0
2017-12-21,0.8500000238418579,0.0,1.0,0.0,0.0
2017-12-22,1.75,0.0,1.0,0.0,0.0
2017-12-26,2.0,,,,
2017-12-27,1.899999976158142,,,,
2017-12-28,2.0,,,,
2017-12-29,2.0,,,,
2018-01-02,2.200000047683716,,,,
2018-01-03,2.25,,,,
2018-01-04,2.5,,,,
2018-01-05,2.299999952316284,0.0,1.0,0.0,0.0
2018-01-08,2.299999952316284,,,,
2018-01-09,2.25,,,,
2018-01-10,2.5,,,,
2018-01-11,2.5,,,,
2018-01-12,2.5,,,,
2018-01-16,2.4000000953674316,,,,
2018-01-17,2.4000000953674316,,,,
2018-01-18,2.299999952316284,,,,
2018-01-19,2.75,,,,
2018-01-22,2.75,,,,
2018-01-23,2.0,,,,
