Date,DNN,HGEN,ICLN,OCGN,VGT,VUZI,XLV,^NBI
2014-12-03,1.0,72.80000305175781,10.0600004196167,705.0,106.68000030517578,3.5,70.31999969482422,3225.080078125
2014-12-04,0.9800000190734863,74.80000305175781,10.039999961853027,665.4000244140625,106.73999786376953,3.5,70.2300033569336,3204.22998046875
2014-12-05,1.0,76.80000305175781,10.069999694824219,660.0,106.77999877929688,3.4700000286102295,70.79000091552734,3227.719970703125
2014-12-08,0.9900000095367432,75.5999984741211,9.899999618530273,660.0,105.36000061035156,3.5,71.04000091552734,3277.409912109375
2014-12-09,0.9900000095367432,78.80000305175781,9.869999885559082,660.0,105.95999908447266,3.4100000858306885,70.73999786376953,3293.75
2014-12-10,0.949999988079071,78.4000015258789,9.880000114440918,660.0,104.2300033569336,3.430000066757202,69.6500015258789,3224.47998046875
2014-12-11,0.9700000286102295,76.0,9.880000114440918,672.0,104.73999786376953,3.369999885559082,69.8499984741211,3240.969970703125
2014-12-12,0.9599999785423279,72.0,9.720000267028809,660.0,103.16000366210938,3.3499999046325684,68.77999877929688,3202.56005859375
2014-12-15,0.9700000286102295,68.4000015258789,9.630000114440918,660.0,102.47000122070312,3.2799999713897705,68.1500015258789,3113.6201171875
2014-12-16,0.949999988079071,66.4000015258789,9.619999885559082,660.0599975585938,101.06999969482422,3.0999999046325684,67.36000061035156,3074.840087890625
2014-12-17,0.9800000190734863,67.5999984741211,9.579999923706055,660.0,103.16000366210938,3.180000066757202,68.62000274658203,3174.64990234375
2014-12-18,0.9800000190734863,70.80000305175781,9.819999694824219,660.0,104.94999694824219,3.440000057220459,70.5,3280.090087890625
2014-12-19,1.0,68.0,9.59000015258789,660.0,105.12000274658203,3.6600000858306885,70.41000366210938,3313.75
2014-12-22,1.0,69.19999694824219,9.640000343322754,669.0,106.23999786376953,3.740000009536743,69.73999786376953,3233.72998046875
2014-12-23,1.0,66.80000305175781,9.680000305175781,658.2000122070312,106.5,3.630000114440918,68.13999938964844,3086.489990234375
2014-12-24,0.9900000095367432,65.19999694824219,9.699999809265137,630.2999877929688,106.5,3.700000047683716,68.63999938964844,3136.3798828125
2014-12-26,0.9599999785423279,62.400001525878906,9.75,645.0,106.88999938964844,3.7699999809265137,69.12999725341797,3207.090087890625
2014-12-29,0.9700000286102295,63.20000076293945,9.720000267028809,652.7999877929688,106.30999755859375,3.9800000190734863,69.37000274658203,3224.080078125
2014-12-30,0.949999988079071,64.80000305175781,9.680000305175781,636.5999755859375,105.63999938964844,4.400000095367432,69.06999969482422,3184.47998046875
2014-12-31,0.9300000071525574,69.19999694824219,9.680000305175781,660.0,104.4800033569336,4.360000133514404,68.37999725341797,3177.52001953125
2015-01-02,0.9900000095367432,74.4000015258789,9.75,663.0,104.23999786376953,4.210000038146973,68.62999725341797,3203.89990234375
2015-01-05,0.9300000071525574,74.0,9.539999961853027,708.0,102.44999694824219,5.460000038146973,68.27999877929688,3199.56005859375
2015-01-06,0.9300000071525574,73.19999694824219,9.520000457763672,655.2000122070312,101.12999725341797,5.78000020980835,68.05000305175781,3146.5
2015-01-07,0.949999988079071,20.799999237060547,9.609999656677246,657.5999755859375,102.02999877929688,5.550000190734863,69.6500015258789,3259.72998046875
2015-01-08,0.9700000286102295,20.799999237060547,9.84000015258789,677.4000244140625,104.33000183105469,5.699999809265137,70.83999633789062,3288.989990234375
2015-01-09,0.949999988079071,20.0,9.8100004196167,673.2000122070312,104.05999755859375,5.909999847412109,70.20999908447266,3277.9599609375
2015-01-12,0.949999988079071,20.0,9.640000343322754,666.5999755859375,102.73999786376953,5.900000095367432,70.23999786376953,3294.830078125
2015-01-13,0.949999988079071,20.0,9.670000076293945,650.4000244140625,102.72000122070312,5.929999828338623,69.93000030517578,3296.47998046875
2015-01-14,0.8899999856948853,19.600000381469727,9.6899995803833,640.2000122070312,102.0999984741211,5.559999942779541,69.81999969482422,3300.3798828125
2015-01-15,0.8799999952316284,18.799999237060547,9.5600004196167,637.7999877929688,100.54000091552734,5.25,69.06999969482422,3219.610107421875
2015-01-16,0.8999999761581421,19.200000762939453,9.640000343322754,621.5999755859375,101.52999877929688,5.840000152587891,70.37000274658203,3324.969970703125
2015-01-20,0.8899999856948853,17.600000381469727,9.59000015258789,629.4000244140625,102.29000091552734,6.400000095367432,70.37000274658203,3378.409912109375
2015-01-21,0.8799999952316284,17.600000381469727,9.710000038146973,577.7999877929688,102.4800033569336,6.300000190734863,70.51000213623047,3336.510009765625
2015-01-22,0.8799999952316284,17.200000762939453,9.75,505.79998779296875,104.41999816894531,5.900000095367432,71.3499984741211,3358.85009765625
